mode,guidance_scale,negative_prompt,future_latent_slots,sigma_start,denoise_steps,sigma_schedule,target_latent_idx,target_latent_end,prev_latent_baseline_cos,prev_sequence_baseline_cos,initial_noise_cos,initial_noise_sequence_cos,latent_cos_pred_x0,latent_mse_pred_x0,latent_cos_x_final,latent_mse_x_final,sequence_cos_pred_x0,sequence_mse_pred_x0,sequence_cos_x_final,sequence_mse_x_final,cos_x_final_vs_baseline_diff,cos_pred_x0_vs_baseline_diff,sequence_cos_x_final_vs_baseline_diff,sequence_cos_pred_x0_vs_baseline_diff,hidden_cos
A1_causal,1.0,,1,0.5,1,0.5 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.000759198737796396,-0.000759198737796396,0.08734898269176483,0.4751085340976715,0.0865783840417862,0.4751749038696289,0.08734898269176483,0.4751085340976715,0.0865783840417862,0.4751749038696289,-0.7414568513631821,-0.7406862527132034,-0.7414568513631821,-0.7406862527132034,0.5249394178390503
A1_causal,1.0,,1,0.5,3,0.5 0.12266964 0.021107669 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.002027908805757761,-0.002027908805757761,0.1695467084646225,0.4679386019706726,0.16552555561065674,0.4682570695877075,0.1695467084646225,0.4679386019706726,0.16552555561065674,0.4682570695877075,-0.6625096797943115,-0.6584885269403458,-0.6625096797943115,-0.6584885269403458,0.5707845687866211
A1_causal,1.0,,1,0.5,5,0.5 0.22269149 0.089224105 0.031149099 0.0090225648 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.0020056641660630703,-0.0020056641660630703,0.1825895756483078,0.4669889211654663,0.17804580926895142,0.46733415126800537,0.1825895756483078,0.4669889211654663,0.17804580926895142,0.46733415126800537,-0.6499894261360168,-0.6454456597566605,-0.6499894261360168,-0.6454456597566605,0.6198159456253052
A1_causal,1.0,,1,0.5,10,0.5 0.33760387 0.22269149 0.14307905 0.089224105 0.053770554 0.031149099 0.017229734 0.0090225648 0.0044233257 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.0011214602272957563,-0.0011214602272957563,0.19878248870372772,0.46530669927597046,0.19419780373573303,0.46566250920295715,0.19878248870372772,0.46530669927597046,0.19419780373573303,0.46566250920295715,-0.6338374316692352,-0.6292527467012405,-0.6338374316692352,-0.6292527467012405,0.6407313346862793
A1_causal,1.0,,1,0.5,20,0.5 0.41198815 0.33760387 0.27504134 0.22269149 0.17912547 0.14307905 0.11343794 0.089224105 0.069582798 0.053770554 0.04114394 0.031149099 0.023312053 0.017229734 0.012561706 0.0090225648 0.0063749751 0.0044233257 0.0030079658 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0022751616779714823,0.0022751616779714823,0.22748872637748718,0.46203750371932983,0.22308216989040375,0.46239417791366577,0.22748872637748718,0.46203750371932983,0.22308216989040375,0.46239417791366577,-0.6049530655145645,-0.6005465090274811,-0.6049530655145645,-0.6005465090274811,0.6626099944114685
A1_causal,1.0,,1,0.8,1,0.8 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0014874066691845655,0.0014874066691845655,0.14108793437480927,0.4698697626590729,0.140121728181839,0.46995002031326294,0.14108793437480927,0.4698697626590729,0.140121728181839,0.46995002031326294,-0.6879135072231293,-0.686947301030159,-0.6879135072231293,-0.686947301030159,0.5067130327224731
A1_causal,1.0,,1,0.8,3,0.8 0.1803376 0.027107146 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.0013074784073978662,-0.0013074784073978662,0.16794514656066895,0.46687600016593933,0.16481564939022064,0.46717432141304016,0.16794514656066895,0.46687600016593933,0.16481564939022064,0.46717432141304016,-0.6632195860147476,-0.6600900888442993,-0.6632195860147476,-0.6600900888442993,0.602845311164856
A1_causal,1.0,,1,0.8,5,0.8 0.3401087 0.12833713 0.041349901 0.010699258 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0017185560427606106,0.0017185560427606106,0.22386442124843597,0.46022871136665344,0.22046293318271637,0.46056199073791504,0.22386442124843597,0.46022871136665344,0.22046293318271637,0.46056199073791504,-0.6075723022222519,-0.6041708141565323,-0.6075723022222519,-0.6041708141565323,0.6595485210418701
A1_causal,1.0,,1,0.8,10,0.8 0.52847472 0.3401087 0.2124934 0.12833713 0.074533362 0.041349901 0.021730302 0.010699258 0.0048635222 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0017738619353622198,0.0017738619353622198,0.2349112629890442,0.45861315727233887,0.23155304789543152,0.4589505195617676,0.2349112629890442,0.45861315727233887,0.23155304789543152,0.4589505195617676,-0.5964821875095367,-0.5931239724159241,-0.5964821875095367,-0.5931239724159241,0.683239221572876
A1_causal,1.0,,1,0.8,20,0.8 0.65221396 0.52847472 0.42542904 0.3401087 0.26989634 0.2124934 0.16589006 0.12833713 0.098319816 0.074533362 0.055860379 0.041349901 0.030198058 0.021730302 0.015385136 0.010699258 0.0072940769 0.0048635222 0.0031630801 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.00392000051215291,-0.00392000051215291,0.19225046038627625,0.4630909860134125,0.18903061747550964,0.46345219016075134,0.19225046038627625,0.4630909860134125,0.18903061747550964,0.46345219016075134,-0.6390046179294586,-0.635784775018692,-0.6390046179294586,-0.635784775018692,0.7101449370384216
