mode,sigma_start,denoise_steps,sigma_schedule,target_latent_idx,prev_latent_baseline_cos,initial_noise_cos,latent_cos_pred_x0,latent_mse_pred_x0,latent_cos_x_final,latent_mse_x_final,cos_x_final_vs_baseline_diff,cos_pred_x0_vs_baseline_diff,hidden_cos
A1_causal,0.002,1,0.002 0.002,4,0.9647329449653625,0.00016722793225198984,0.05479887127876282,0.6785123348236084,0.00016722793225198984,0.678695797920227,-0.9645657170331106,-0.9099340736865997,0.7259114980697632
A1_causal,0.002,3,0.002 0.002 0.002 0.002,4,0.9647329449653625,0.0007351236999966204,0.05526852607727051,0.6785101890563965,0.0007351236999966204,0.6786940097808838,-0.9639978212653659,-0.909464418888092,0.7262605428695679
A1_causal,0.002,5,0.002 0.002 0.002 0.002 0.002 0.002,4,0.9647329449653625,0.0011878887889906764,0.05585410073399544,0.6785087585449219,0.0011878887889906764,0.6786924600601196,-0.9635450561763719,-0.9088788442313671,0.7264024019241333
A1_causal,0.002,10,0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002,4,0.9647329449653625,0.00027006177697330713,0.05489256605505943,0.6785116791725159,0.00027006177697330713,0.6786954998970032,-0.9644628831883892,-0.9098403789103031,0.72629314661026
A1_causal,0.002,20,0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002,4,0.9647329449653625,-0.0016666182782500982,0.05303939804434776,0.6785178780555725,-0.0016666182782500982,0.6787018775939941,-0.9663995632436126,-0.9116935469210148,0.7264388799667358
A1_causal,0.002,35,0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002,4,0.9647329449653625,-0.0015726782148703933,0.0530436709523201,0.6785178184509277,-0.0015726782148703933,0.678701639175415,-0.9663056231802329,-0.9116892740130424,0.7264804840087891
A1_causal,0.05,1,0.05 0.002,4,0.9647329449653625,-0.002574251964688301,0.04654020071029663,0.6772552132606506,0.043992917984724045,0.6773894429206848,-0.9207400269806385,-0.9181927442550659,0.4735705256462097
A1_causal,0.05,3,0.05 0.019971562 0.0069439119 0.002,4,0.9647329449653625,0.0028172782622277737,0.05623688921332359,0.6766836643218994,0.05323333293199539,0.6768509149551392,-0.9114996120333672,-0.908496055752039,0.7130469083786011
A1_causal,0.05,5,0.05 0.029252042 0.016369045 0.0086910589 0.00433271 0.002,4,0.9647329449653625,0.0005194930708967149,0.053856510668992996,0.6768094897270203,0.05090416222810745,0.6769773960113525,-0.9138287827372551,-0.9108764342963696,0.7346084117889404
A1_causal,0.05,10,0.05 0.038440694 0.029252042 0.022014199 0.016369045 0.012013107 0.0086910589 0.006189741 0.00433271 0.0029752742 0.002,4,0.9647329449653625,-0.005723143927752972,0.04577142000198364,0.6772751808166504,0.04284656420350075,0.6774466037750244,-0.9218863807618618,-0.9189615249633789,0.7436865568161011
