target,source,layer,horizon,future_step,future_step_1based,split,loss,uv_mse_norm,uv_rmse_norm,uv_mae_norm,uv_mae_px,valid_fraction
future_uv,raw_no_denoise,8,8.0,1,2,val,0.009059509934163053,0.009059509934163053,0.08006569312216928,0.05475351610302094,15.81545493827049,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,test,0.012007406700641595,0.012007406700641595,0.10771150418073247,0.07565086555530319,21.348533028154392,0.44099379079435674
future_uv,raw_no_denoise,8,16.0,3,4,val,0.010770116437823619,0.010770116437823619,0.08475770754577391,0.06345042720021686,18.022438394898735,0.37456446117640374
future_uv,raw_no_denoise,8,16.0,3,4,test,0.009623441920378563,0.009623441920378563,0.09767475984913469,0.07375264058263652,20.34225911284579,0.3995859170058746
future_uv,raw_no_denoise,8,24.0,5,6,val,0.010790564966767715,0.010790564966767715,0.08525686934330738,0.06268771447059585,17.934717636905898,0.3344947735191638
future_uv,raw_no_denoise,8,24.0,5,6,test,0.008148796273121614,0.008148796273121614,0.08924476196121725,0.06573059706800226,18.284553974064735,0.364389237286388
future_uv,raw_no_denoise,8,36.0,8,9,val,0.0070549685602118535,0.0070549685602118535,0.07199708115348417,0.05516542051675428,15.881135402240819,0.2421602773957136
future_uv,raw_no_denoise,8,36.0,8,9,test,0.005638022340186264,0.005638022340186264,0.07483974662194834,0.055460601366331366,15.098136171297504,0.26915113939508395
future_uv,raw_no_denoise,8,45.0,10,11,val,0.00463422816993104,0.00463422816993104,0.05950000105938429,0.04573330392197865,13.16192353145586,0.18292682989133774
future_uv,raw_no_denoise,8,45.0,10,11,test,0.004058105006281819,0.004058105006281819,0.0634404816057371,0.05010439622877301,13.701391770972968,0.2256728760574175
current_uv,raw_no_denoise,8,,0,1,val,0.005108725793095052,0.005108725793095052,0.06149851855292968,0.04808293185634895,13.630425606039758,0.45296167164314083
current_uv,raw_no_denoise,8,,0,1,test,0.014596898442300086,0.014596898442300086,0.11898990108112864,0.08478589268790762,24.056314476281713,0.480331267752756
future_uv,raw_no_denoise,12,8.0,1,2,val,0.0062967006438363095,0.0062967006438363095,0.06776791333321495,0.04702404293293322,13.368271644937867,0.4216027868334009
